file_index,flips_requested,raw_bit_diff,flips_actual
1,1,108,1
1,5,141,5
1,10,118,10
1,15,123,15
1,20,136,20
1,25,117,25
1,30,120,30
1,35,134,35
1,40,105,40
1,45,138,45
1,50,121,50
2,1,118,1
2,5,125,5
2,10,121,10
2,15,117,15
2,20,129,20
2,25,119,25
2,30,145,30
2,35,132,35
2,40,135,40
2,45,125,45
2,50,126,50
3,1,115,1
3,5,123,5
3,10,143,10
3,15,133,15
3,20,125,20
3,25,133,25
3,30,117,30
3,35,111,35
3,40,144,40
3,45,133,45
3,50,128,50
4,1,130,1
4,5,120,5
4,10,121,10
4,15,121,15
4,20,139,20
4,25,126,25
4,30,109,30
4,35,134,35
4,40,119,40
4,45,128,45
4,50,123,50
5,1,133,1
5,5,125,5
5,10,146,10
5,15,139,15
5,20,141,20
5,25,115,25
5,30,135,30
5,35,128,35
5,40,130,40
5,45,134,45
5,50,121,50
6,1,134,1
6,5,132,5
6,10,142,10
6,15,126,15
6,20,126,20
6,25,121,25
6,30,122,30
6,35,142,35
6,40,125,40
6,45,144,45
6,50,130,50
7,1,120,1
7,5,120,5
7,10,125,10
7,15,129,15
7,20,131,20
7,25,126,25
7,30,137,30
7,35,131,35
7,40,133,40
7,45,123,45
7,50,119,50
8,1,131,1
8,5,135,5
8,10,125,10
8,15,119,15
8,20,132,20
8,25,125,25
8,30,134,30
8,35,132,35
8,40,140,40
8,45,140,45
8,50,130,50
9,1,127,1
9,5,121,5
9,10,145,10
9,15,138,15
9,20,125,20
9,25,151,25
9,30,125,30
9,35,126,35
9,40,122,40
9,45,129,45
9,50,138,50
10,1,126,1
10,5,127,5
10,10,125,10
10,15,132,15
10,20,133,20
10,25,123,25
10,30,128,30
10,35,114,35
10,40,132,40
10,45,131,45
10,50,141,50
11,1,144,1
11,5,132,5
11,10,138,10
11,15,136,15
11,20,132,20
11,25,141,25
11,30,133,30
11,35,135,35
11,40,119,40
11,45,129,45
11,50,106,50
12,1,127,1
12,5,142,5
12,10,138,10
12,15,119,15
12,20,131,20
12,25,129,25
12,30,124,30
12,35,134,35
12,40,122,40
12,45,137,45
12,50,122,50
13,1,120,1
13,5,132,5
13,10,139,10
13,15,139,15
13,20,122,20
13,25,136,25
13,30,135,30
13,35,122,35
13,40,130,40
13,45,136,45
13,50,126,50
14,1,133,1
14,5,122,5
14,10,122,10
14,15,121,15
14,20,127,20
14,25,122,25
14,30,129,30
14,35,130,35
14,40,128,40
14,45,131,45
14,50,118,50
15,1,137,1
15,5,120,5
15,10,125,10
15,15,133,15
15,20,133,20
15,25,147,25
15,30,130,30
15,35,132,35
15,40,126,40
15,45,144,45
15,50,146,50
16,1,135,1
16,5,124,5
16,10,130,10
16,15,131,15
16,20,143,20
16,25,124,25
16,30,120,30
16,35,121,35
16,40,129,40
16,45,135,45
16,50,121,50
17,1,136,1
17,5,138,5
17,10,119,10
17,15,132,15
17,20,127,20
17,25,136,25
17,30,140,30
17,35,111,35
17,40,125,40
17,45,123,45
17,50,115,50
18,1,137,1
18,5,127,5
18,10,135,10
18,15,119,15
18,20,135,20
18,25,133,25
18,30,140,30
18,35,118,35
18,40,119,40
18,45,118,45
18,50,119,50
19,1,144,1
19,5,132,5
19,10,126,10
19,15,124,15
19,20,134,20
19,25,109,25
19,30,121,30
19,35,121,35
19,40,130,40
19,45,139,45
19,50,130,50
20,1,144,1
20,5,128,5
20,10,132,10
20,15,118,15
20,20,133,20
20,25,128,25
20,30,123,30
20,35,126,35
20,40,127,40
20,45,118,45
20,50,129,50
21,1,136,1
21,5,140,5
21,10,129,10
21,15,127,15
21,20,136,20
21,25,135,25
21,30,124,30
21,35,134,35
21,40,132,40
21,45,123,45
21,50,126,50
22,1,123,1
22,5,114,5
22,10,129,10
22,15,131,15
22,20,136,20
22,25,127,25
22,30,126,30
22,35,126,35
22,40,129,40
22,45,129,45
22,50,129,50
23,1,124,1
23,5,129,5
23,10,131,10
23,15,130,15
23,20,140,20
23,25,130,25
23,30,121,30
23,35,129,35
23,40,131,40
23,45,119,45
23,50,116,50
24,1,128,1
24,5,121,5
24,10,123,10
24,15,133,15
24,20,128,20
24,25,126,25
24,30,131,30
24,35,125,35
24,40,121,40
24,45,137,45
24,50,122,50
25,1,129,1
25,5,124,5
25,10,134,10
25,15,128,15
25,20,127,20
25,25,134,25
25,30,116,30
25,35,137,35
25,40,121,40
25,45,130,45
25,50,139,50
26,1,128,1
26,5,113,5
26,10,128,10
26,15,116,15
26,20,128,20
26,25,126,25
26,30,124,30
26,35,133,35
26,40,130,40
26,45,135,45
26,50,145,50
27,1,130,1
27,5,134,5
27,10,125,10
27,15,137,15
27,20,137,20
27,25,128,25
27,30,124,30
27,35,134,35
27,40,113,40
27,45,143,45
27,50,114,50
28,1,144,1
28,5,133,5
28,10,141,10
28,15,123,15
28,20,125,20
28,25,125,25
28,30,133,30
28,35,130,35
28,40,139,40
28,45,130,45
28,50,125,50
29,1,124,1
29,5,134,5
29,10,125,10
29,15,134,15
29,20,131,20
29,25,117,25
29,30,127,30
29,35,114,35
29,40,131,40
29,45,124,45
29,50,142,50
30,1,129,1
30,5,134,5
30,10,125,10
30,15,141,15
30,20,124,20
30,25,131,25
30,30,139,30
30,35,126,35
30,40,122,40
30,45,119,45
30,50,118,50
31,1,125,1
31,5,116,5
31,10,129,10
31,15,136,15
31,20,131,20
31,25,132,25
31,30,135,30
31,35,122,35
31,40,144,40
31,45,122,45
31,50,110,50
32,1,117,1
32,5,119,5
32,10,140,10
32,15,127,15
32,20,124,20
32,25,137,25
32,30,119,30
32,35,143,35
32,40,123,40
32,45,129,45
32,50,117,50
33,1,137,1
33,5,130,5
33,10,137,10
33,15,132,15
33,20,132,20
33,25,133,25
33,30,131,30
33,35,121,35
33,40,115,40
33,45,140,45
33,50,141,50
34,1,135,1
34,5,133,5
34,10,136,10
34,15,147,15
34,20,132,20
34,25,134,25
34,30,127,30
34,35,134,35
34,40,124,40
34,45,131,45
34,50,124,50
35,1,127,1
35,5,121,5
35,10,133,10
35,15,131,15
35,20,126,20
35,25,124,25
35,30,138,30
35,35,125,35
35,40,127,40
35,45,118,45
35,50,132,50
36,1,131,1
36,5,130,5
36,10,130,10
36,15,127,15
36,20,114,20
36,25,127,25
36,30,134,30
36,35,129,35
36,40,133,40
36,45,132,45
36,50,136,50
37,1,121,1
37,5,133,5
37,10,120,10
37,15,121,15
37,20,153,20
37,25,130,25
37,30,125,30
37,35,128,35
37,40,137,40
37,45,129,45
37,50,145,50
38,1,119,1
38,5,137,5
38,10,124,10
38,15,132,15
38,20,130,20
38,25,123,25
38,30,130,30
38,35,116,35
38,40,126,40
38,45,135,45
38,50,131,50
39,1,135,1
39,5,122,5
39,10,118,10
39,15,129,15
39,20,134,20
39,25,118,25
39,30,133,30
39,35,137,35
39,40,134,40
39,45,144,45
39,50,134,50
40,1,127,1
40,5,121,5
40,10,129,10
40,15,137,15
40,20,147,20
40,25,121,25
40,30,129,30
40,35,123,35
40,40,123,40
40,45,125,45
40,50,139,50
41,1,127,1
41,5,136,5
41,10,123,10
41,15,130,15
41,20,134,20
41,25,114,25
41,30,125,30
41,35,127,35
41,40,129,40
41,45,129,45
41,50,116,50
42,1,125,1
42,5,137,5
42,10,132,10
42,15,122,15
42,20,129,20
42,25,139,25
42,30,126,30
42,35,127,35
42,40,117,40
42,45,127,45
42,50,134,50
43,1,129,1
43,5,133,5
43,10,128,10
43,15,155,15
43,20,128,20
43,25,126,25
43,30,117,30
43,35,122,35
43,40,132,40
43,45,129,45
43,50,133,50
44,1,129,1
44,5,129,5
44,10,129,10
44,15,130,15
44,20,151,20
44,25,127,25
44,30,112,30
44,35,144,35
44,40,134,40
44,45,129,45
44,50,128,50
45,1,135,1
45,5,122,5
45,10,130,10
45,15,111,15
45,20,142,20
45,25,134,25
45,30,112,30
45,35,135,35
45,40,125,40
45,45,138,45
45,50,125,50
46,1,133,1
46,5,114,5
46,10,126,10
46,15,118,15
46,20,135,20
46,25,127,25
46,30,136,30
46,35,129,35
46,40,121,40
46,45,112,45
46,50,137,50
47,1,121,1
47,5,134,5
47,10,133,10
47,15,129,15
47,20,124,20
47,25,147,25
47,30,136,30
47,35,116,35
47,40,132,40
47,45,131,45
47,50,123,50
48,1,138,1
48,5,131,5
48,10,123,10
48,15,132,15
48,20,129,20
48,25,126,25
48,30,135,30
48,35,126,35
48,40,128,40
48,45,142,45
48,50,135,50
49,1,129,1
49,5,132,5
49,10,138,10
49,15,129,15
49,20,124,20
49,25,133,25
49,30,127,30
49,35,127,35
49,40,133,40
49,45,130,45
49,50,139,50
50,1,135,1
50,5,138,5
50,10,138,10
50,15,131,15
50,20,113,20
50,25,121,25
50,30,135,30
50,35,128,35
50,40,132,40
50,45,122,45
50,50,130,50
51,1,129,1
51,5,120,5
51,10,123,10
51,15,126,15
51,20,140,20
51,25,123,25
51,30,129,30
51,35,116,35
51,40,130,40
51,45,129,45
51,50,126,50
52,1,134,1
52,5,132,5
52,10,129,10
52,15,135,15
52,20,133,20
52,25,123,25
52,30,135,30
52,35,128,35
52,40,118,40
52,45,132,45
52,50,142,50
53,1,107,1
53,5,139,5
53,10,146,10
53,15,137,15
53,20,140,20
53,25,134,25
53,30,129,30
53,35,134,35
53,40,128,40
53,45,122,45
53,50,121,50
54,1,122,1
54,5,117,5
54,10,124,10
54,15,124,15
54,20,118,20
54,25,135,25
54,30,119,30
54,35,119,35
54,40,134,40
54,45,122,45
54,50,125,50
55,1,137,1
55,5,116,5
55,10,127,10
55,15,125,15
55,20,130,20
55,25,129,25
55,30,124,30
55,35,131,35
55,40,147,40
55,45,133,45
55,50,118,50
56,1,132,1
56,5,127,5
56,10,120,10
56,15,130,15
56,20,132,20
56,25,118,25
56,30,126,30
56,35,118,35
56,40,109,40
56,45,107,45
56,50,132,50
57,1,126,1
57,5,134,5
57,10,127,10
57,15,131,15
57,20,132,20
57,25,123,25
57,30,123,30
57,35,119,35
57,40,145,40
57,45,134,45
57,50,132,50
58,1,121,1
58,5,124,5
58,10,138,10
58,15,130,15
58,20,137,20
58,25,117,25
58,30,124,30
58,35,129,35
58,40,124,40
58,45,107,45
58,50,114,50
59,1,125,1
59,5,128,5
59,10,130,10
59,15,119,15
59,20,123,20
59,25,123,25
59,30,125,30
59,35,134,35
59,40,135,40
59,45,119,45
59,50,124,50
60,1,113,1
60,5,137,5
60,10,129,10
60,15,133,15
60,20,125,20
60,25,128,25
60,30,132,30
60,35,136,35
60,40,142,40
60,45,134,45
60,50,132,50
61,1,137,1
61,5,137,5
61,10,132,10
61,15,135,15
61,20,127,20
61,25,134,25
61,30,127,30
61,35,131,35
61,40,115,40
61,45,133,45
61,50,122,50
62,1,119,1
62,5,127,5
62,10,135,10
62,15,133,15
62,20,117,20
62,25,130,25
62,30,117,30
62,35,129,35
62,40,127,40
62,45,136,45
62,50,137,50
63,1,130,1
63,5,126,5
63,10,137,10
63,15,122,15
63,20,130,20
63,25,131,25
63,30,126,30
63,35,115,35
63,40,118,40
63,45,135,45
63,50,123,50
64,1,120,1
64,5,141,5
64,10,122,10
64,15,125,15
64,20,134,20
64,25,127,25
64,30,139,30
64,35,135,35
64,40,138,40
64,45,128,45
64,50,127,50
65,1,127,1
65,5,137,5
65,10,135,10
65,15,127,15
65,20,122,20
65,25,110,25
65,30,126,30
65,35,139,35
65,40,129,40
65,45,130,45
65,50,135,50
66,1,124,1
66,5,147,5
66,10,120,10
66,15,131,15
66,20,134,20
66,25,132,25
66,30,141,30
66,35,116,35
66,40,129,40
66,45,154,45
66,50,128,50
67,1,124,1
67,5,137,5
67,10,141,10
67,15,126,15
67,20,133,20
67,25,132,25
67,30,123,30
67,35,126,35
67,40,122,40
67,45,125,45
67,50,112,50
68,1,126,1
68,5,135,5
68,10,136,10
68,15,125,15
68,20,117,20
68,25,121,25
68,30,139,30
68,35,126,35
68,40,126,40
68,45,121,45
68,50,131,50
69,1,136,1
69,5,140,5
69,10,109,10
69,15,132,15
69,20,127,20
69,25,127,25
69,30,140,30
69,35,140,35
69,40,126,40
69,45,135,45
69,50,146,50
70,1,139,1
70,5,122,5
70,10,142,10
70,15,139,15
70,20,129,20
70,25,118,25
70,30,123,30
70,35,139,35
70,40,139,40
70,45,123,45
70,50,119,50
71,1,120,1
71,5,122,5
71,10,132,10
71,15,121,15
71,20,136,20
71,25,131,25
71,30,137,30
71,35,122,35
71,40,114,40
71,45,138,45
71,50,124,50
72,1,139,1
72,5,131,5
72,10,128,10
72,15,133,15
72,20,130,20
72,25,144,25
72,30,113,30
72,35,129,35
72,40,129,40
72,45,123,45
72,50,119,50
73,1,130,1
73,5,125,5
73,10,113,10
73,15,126,15
73,20,120,20
73,25,131,25
73,30,142,30
73,35,137,35
73,40,126,40
73,45,131,45
73,50,135,50
74,1,125,1
74,5,127,5
74,10,138,10
74,15,120,15
74,20,115,20
74,25,134,25
74,30,134,30
74,35,131,35
74,40,124,40
74,45,124,45
74,50,135,50
75,1,114,1
75,5,120,5
75,10,141,10
75,15,125,15
75,20,128,20
75,25,129,25
75,30,134,30
75,35,122,35
75,40,129,40
75,45,131,45
75,50,128,50
76,1,125,1
76,5,138,5
76,10,118,10
76,15,115,15
76,20,125,20
76,25,125,25
76,30,137,30
76,35,122,35
76,40,134,40
76,45,127,45
76,50,111,50
77,1,136,1
77,5,139,5
77,10,130,10
77,15,130,15
77,20,136,20
77,25,133,25
77,30,120,30
77,35,129,35
77,40,142,40
77,45,130,45
77,50,104,50
78,1,142,1
78,5,133,5
78,10,133,10
78,15,142,15
78,20,138,20
78,25,122,25
78,30,127,30
78,35,130,35
78,40,149,40
78,45,127,45
78,50,114,50
79,1,112,1
79,5,134,5
79,10,115,10
79,15,141,15
79,20,128,20
79,25,132,25
79,30,127,30
79,35,133,35
79,40,135,40
79,45,127,45
79,50,129,50
80,1,130,1
80,5,125,5
80,10,130,10
80,15,132,15
80,20,142,20
80,25,125,25
80,30,125,30
80,35,132,35
80,40,134,40
80,45,133,45
80,50,132,50
81,1,133,1
81,5,137,5
81,10,128,10
81,15,133,15
81,20,130,20
81,25,140,25
81,30,128,30
81,35,129,35
81,40,114,40
81,45,119,45
81,50,133,50
82,1,138,1
82,5,122,5
82,10,133,10
82,15,118,15
82,20,145,20
82,25,128,25
82,30,122,30
82,35,120,35
82,40,131,40
82,45,110,45
82,50,131,50
83,1,120,1
83,5,127,5
83,10,109,10
83,15,131,15
83,20,126,20
83,25,116,25
83,30,117,30
83,35,125,35
83,40,125,40
83,45,125,45
83,50,134,50
84,1,128,1
84,5,133,5
84,10,121,10
84,15,140,15
84,20,129,20
84,25,129,25
84,30,137,30
84,35,122,35
84,40,134,40
84,45,125,45
84,50,126,50
85,1,132,1
85,5,131,5
85,10,135,10
85,15,129,15
85,20,112,20
85,25,116,25
85,30,135,30
85,35,133,35
85,40,138,40
85,45,120,45
85,50,123,50
86,1,125,1
86,5,130,5
86,10,141,10
86,15,121,15
86,20,115,20
86,25,142,25
86,30,135,30
86,35,117,35
86,40,137,40
86,45,125,45
86,50,121,50
87,1,111,1
87,5,124,5
87,10,128,10
87,15,117,15
87,20,122,20
87,25,130,25
87,30,124,30
87,35,130,35
87,40,121,40
87,45,121,45
87,50,135,50
88,1,122,1
88,5,129,5
88,10,125,10
88,15,132,15
88,20,134,20
88,25,145,25
88,30,114,30
88,35,135,35
88,40,143,40
88,45,137,45
88,50,127,50
89,1,124,1
89,5,115,5
89,10,121,10
89,15,119,15
89,20,130,20
89,25,127,25
89,30,130,30
89,35,118,35
89,40,134,40
89,45,128,45
89,50,126,50
90,1,125,1
90,5,112,5
90,10,132,10
90,15,128,15
90,20,139,20
90,25,124,25
90,30,122,30
90,35,123,35
90,40,129,40
90,45,122,45
90,50,120,50
91,1,139,1
91,5,113,5
91,10,136,10
91,15,123,15
91,20,143,20
91,25,120,25
91,30,123,30
91,35,126,35
91,40,123,40
91,45,130,45
91,50,143,50
92,1,126,1
92,5,111,5
92,10,131,10
92,15,113,15
92,20,136,20
92,25,126,25
92,30,125,30
92,35,123,35
92,40,126,40
92,45,123,45
92,50,119,50
93,1,140,1
93,5,133,5
93,10,119,10
93,15,129,15
93,20,128,20
93,25,130,25
93,30,125,30
93,35,124,35
93,40,124,40
93,45,136,45
93,50,143,50
94,1,124,1
94,5,137,5
94,10,137,10
94,15,139,15
94,20,132,20
94,25,123,25
94,30,137,30
94,35,130,35
94,40,123,40
94,45,128,45
94,50,136,50
95,1,131,1
95,5,125,5
95,10,128,10
95,15,134,15
95,20,139,20
95,25,138,25
95,30,116,30
95,35,125,35
95,40,122,40
95,45,125,45
95,50,133,50
96,1,127,1
96,5,132,5
96,10,130,10
96,15,128,15
96,20,123,20
96,25,127,25
96,30,126,30
96,35,124,35
96,40,132,40
96,45,145,45
96,50,135,50
97,1,125,1
97,5,133,5
97,10,132,10
97,15,119,15
97,20,134,20
97,25,132,25
97,30,128,30
97,35,137,35
97,40,122,40
97,45,128,45
97,50,117,50
98,1,133,1
98,5,125,5
98,10,129,10
98,15,125,15
98,20,122,20
98,25,125,25
98,30,138,30
98,35,121,35
98,40,121,40
98,45,114,45
98,50,116,50
99,1,118,1
99,5,140,5
99,10,120,10
99,15,114,15
99,20,125,20
99,25,126,25
99,30,135,30
99,35,126,35
99,40,141,40
99,45,125,45
99,50,137,50
100,1,131,1
100,5,130,5
100,10,130,10
100,15,148,15
100,20,125,20
100,25,122,25
100,30,119,30
100,35,135,35
100,40,140,40
100,45,117,45
100,50,131,50
101,1,119,1
101,5,131,5
101,10,136,10
101,15,127,15
101,20,127,20
101,25,126,25
101,30,116,30
101,35,123,35
101,40,140,40
101,45,114,45
101,50,130,50
102,1,142,1
102,5,117,5
102,10,128,10
102,15,143,15
102,20,115,20
102,25,127,25
102,30,124,30
102,35,138,35
102,40,138,40
102,45,119,45
102,50,125,50
103,1,123,1
103,5,125,5
103,10,124,10
103,15,139,15
103,20,127,20
103,25,130,25
103,30,121,30
103,35,132,35
103,40,106,40
103,45,125,45
103,50,127,50
104,1,129,1
104,5,137,5
104,10,121,10
104,15,121,15
104,20,124,20
104,25,128,25
104,30,134,30
104,35,114,35
